title,price,mark,score
"Google Pixel 9 Pro XL – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, 24 Heures d'autonomie et écran Super Actua 6,8 Pouces – Noir Volcanique, 256GB",0.0,Google,4.3
"Samsung SM-A556B, Galaxy A55 5G, Dual SIM, 8 Go 128 Go, Bleu Marine Fantastique, EU",280.59,Samsung,4.3
Xiaomi Redmi Note 13 4G 6GB RAM 128GB Mint Green,114.32,Xiaomi,4.2
Apple Iphone Xr 64Go Noir (Reconditionné),179.0,Apple,4.0
"Poco M6 Pro 12/512 Noir, Ecran 6.67'', Smartphone Débloqué, Batterie mAh 5000, Mémoire ROM 512 GO,RAM 12 GO, Android 13, Processeur MediaTek Helio G99-Ultra, Gravure en 6nm Huit-Coeurs Jusqu’à 2,2GHz",190.44,Poco,4.4
"MP myPhone Fusion Téléphone de Touches Grand Bouton écran Couleur 1,77"" Batterie 600mAh Torche Radio Double SIM Bluetooth téléphone Portable Seniors Touches éclairées Noir Téléphone Portable Seniors",17.9,MP,3.4
Xiaomi POCO C65 8 Go/256 Go Violet (Purple) Double SIM,149.92,Xiaomi,4.4
TARION Support de téléphone Portable Support vidéo Bras articulé Bras de Support de Bureau Flexible pour la vidéographie de Photographie Plate en Direct (Noir),25.3,TARION,4.1
"Google Pixel 8a – Smartphone Android débloqué avec Module Photo Pixel avancé, Une journée complète d'autonomie et Une sécurité Robuste – Bleu Azur, 128GB",399.0,Google,4.2
"Google Pixel 9 Pro XL – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, 24 Heures d'autonomie et écran Super Actua 6,8 Pouces – Vert Sauge, 512GB",0.0,Google,4.3
Energizer - Téléphone Portable à Clavier Physique Senior Débloqué - E4-2G - Bouton SOS - Batterie 1000 mAh - Double Sim (Mini SIM) - FM Radio - Torche - Noir,17.19,Energizer,3.4
"Xiaomi Redmi A1 Smartphone 4G, Grand écran HD+ 6,52"", Batterie 5000 mAh, Double caméra 8 MP, 32 Go, Bleu",86.99,Xiaomi,4.2
Samsung Galaxy A55 5G 8 Go/128 Go Violet (Awesome Lilac) Double SIM SM-A556,300.84,Samsung,4.5
Smartphone Samsung Galaxy A15 128Go Noir 5G,189.34,Smartphone,4.1
"Motorola MOTO G54 5G 8 GB RAM 256GB NOIR PETROLE, Smartphone déverrouillé, écran 6,5'', batterie 5000 mAh, chargeur, câble USB et coque de protection, Version FR",217.21,Motorola,4.5
"DOOGEE N55 [2024] Telephone Portable Android 14, 9GB RAM+128GB ROM/TF 1TB, Caméra AI 13MP, 6.56'' HD+, Smartphone Pas Cher Batterie 5150mAh, Widevine L1/4G OTG/Dual Nano SIM/Face ID",116.69,DOOGEE,4.2
Nothing Phone (2a) 8+128GB - Telephone portable avec Nothing OS 2.5 - Noir,280.25,Nothing,4.5
"Samsung Galaxy S21 FE, Téléphone mobile 5G 128Go Graphite, Carte SIM non incluse, smartphone Android, Version FR",242.0,Samsung,4.3
Xiaomi Redmi Note 12 Pro Graphite Gray 8GB RAM 256GB ROM,119.0,Xiaomi,4.4
"POCO F6 Snapdragon® 8s Gen 3, écran Flow AMOLED 120Hz, Chargeur Turbo 90W, Double caméra 50MP avec OIS, 12GB+512GB, Vert (Version Française + 2 Ans de Garantie)",361.9,POCO,4.3
"Téléphone Google Pixel 8 Débloqué 5G, 8Go 256GB Noir volcanique",568.8,Téléphone,4.2
"SAMSUNG GALAXY S24 Ultra, Smartphone Android 5G, 512 Go, Chargeur secteur rapide 25W inclus [Exclusivité Amazon], Smartphone déverrouillé, Ambre, Version FR",0.0,SAMSUNG,4.1
"Motorola XT2343-2 Moto G54 5G, Dual, 256GB 8GB RAM, Midnight Blue",146.9,Motorola,4.5
Samsung Galaxy A25 5G Black 256Go,255.0,Samsung,3.9
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Noir Volcanique, 128GB",799.0,Google,4.5
"Samsung Galaxy A25 5G 16,5 cm (6.5"""") USB Type-C 6 Go 128 Go 5000 mAh Bleu, SM-A256BZBDEUE",196.77,Samsung,4.4
Samsung SM-A256 Galaxy A25 Dual SIM 5G 8GB RAM 256GB Blue EU,208.28,Samsung,4.4
Xiaomi Redmi Note 13 Pro+ 5G 256GB Midnight Black,469.0,Xiaomi,4.2
"Konrow - Moby - Téléphone GSM 2G Double SIM - Écran 1,77'', Mèmoire 32 Mo Extensible, Bluetooth 2.1, Micro USB, Batterie 600 Mah, Caméra 0,04 Mpx - Noir",26.41,Konrow,3.2
Samsung Galaxy A25 5G Blue 128Go 6go,218.31,Samsung,4.4
"Samsung Galaxy Z Flip6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu, Version FR",984.0,Samsung,3.7
"CROSSCALL Core-M5 Nouvelle Version - Smartphone débloqué 4G Plus Écran: 4,95 Pouces - 64 Go - Dual Nano-SIM - Android 12",244.95,CROSSCALL,4.1
"Motorola G24 4G 128Go Noir Charbon + Moto tag, Smartphone débloqué, écran 6,6"", Double capteur 50MP, Dolby Atmos, Batterie 5000 mAh, Chargeur 20W et Coque de Protection Inclus",128.99,Motorola,3.2
Xiaomi Redmi Note 13 4G 6GB RAM 128GB Midnight Black,128.99,Xiaomi,4.3
"Xiaomi 13T Pro,AMOLED 144Hz Refresh Rate, 12+512GB,Leica Camera, Black",507.0,Xiaomi,4.4
